OBJECTID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GID,TOTAL_AC,LAND_AC,TCAN_AC,TCAN_PCT,VEG_AC,VEG_PCT,BLD_AC,BLD_PCT,TO_IA_AC,TO_IA_PCT,ROAD_AC,ROAD_PCT,PLOT_AC,PLOT_PCT,SWALK_AC,SWALK_PCT,OT_IA_AC,OT_IA_PCT,WAT_AC,WAT_PCT,SOIL_AC,SOIL_PCT,UTC_AC,UTC_PCT,PPA_V_AC,PPA_V_PCT,TO_PPA_AC,TO_PPA_PCT,PPA_IA_AC,PPA_IA_PCT,UN_V_AC,UN_V_PCT,TO_UN_AC,TO_UN_PCT,UN_IA_AC,UN_IA_PCT,UN_SL_AC,UN_SL_PCT,WTR_AC,WTR_PCT,UTC_AC_06,UTC_PCT_06,UTCAC0620,UTCPCT0620,UTC_AC_11,UTC_PCT_11,UTCAC1120,UTCPCT1120,UTC_AC_15,UTC_PCT_15,UTCAC1520,UTCPCT1520,ENRGY_CON,STRM_WTR,UHI,LAND_OWN,WLDLF_CON,OVERALL,LOW_UTC,POS_UTC,GIS_ID,GLOBALID,FIELD,SHAPEAREA,SHAPELEN
1,11,001,001600,4,110010016004,Block Group 4,G5030,S,1637620,7820,+38.9854988,-077.0407709,546,406.58,404.4,297.71,73.22,48.57,11.95,24.3,5.98,58.11,14.29,20.04,4.93,0.77,0.19,2.09,0.51,10.91,2.68,2.18,0.53720342,0.01,0,297.71,73.62,47.99,11.87,50.91,12.59,2.92,0.72,0.51,0.13,55.78,13.79,55.26,13.66,0.01,0,2.18,0.54,290.11,71.73837784,7.6,1.88162216,310.38,76.75074184,-12.67,-3.13074184,296.48,73.31355094,1.23,0.30644906,3.10443205,1.21654646,29.03668536,9.671e-05,9.694754,5.95886615,26.38,12.59,UTC_BlockGroupPly_2020_546,{6653D916-BE48-4C1E-86E1-A6EB66B17C85},,0,0
2,11,001,001600,1,110010016001,Block Group 1,G5030,S,481594,0,+38.9862807,-077.0327070,268,119,119,52,43.69,24.02,20.19,16.7,14.03,42.98,36.12,14.02,11.78,1.82,1.53,2.75,2.31,7.7,6.47,0,0,0,0,52,43.69,23.88,20.07,28.52,23.97,4.64,3.9,0.08,0.06,38.48,32.34,38.41,32.28,0,0,0,0,46.06,38.70588235,5.94,4.98411765,54.38,45.69747899,-2.38,-2.00747899,47.27,39.72268908,4.73,3.96731092,8.01268985,3.89691757,31.36862065,0.7447814,11.16797733,7.19236532,56.31,23.97,UTC_BlockGroupPly_2020_268,{6F53F367-9094-46A0-8222-CFAC9C31AEFD},,0,0
3,11,001,001500,1,110010015001,Block Group 1,G5030,S,3107986,34695,+38.9723228,-077.0493342,489,776.56,772.84,647.34,83.36,54.45,7.01,24.11,3.1,70.98,9.14,21.79,2.81,3.77,0.49,2.98,0.38,18.33,2.36,3.72,0.47943935,0.07,0.01,647.34,83.76,54.1,7,60.91,7.88,6.81,0.88,0.3,0.04,64.59,8.36,64.22,8.31,0.07,0.01,3.72,0.48,645.89,83.5735728,1.45,0.1864272,648.85,83.95657575,-1.51,-0.19657575,656.68,84.96972206,-9.34,-1.20972206,1.17562312,1.09849476,28.20763948,0.96940681,6.22662365,5.42617031,16.24,7.88,UTC_BlockGroupPly_2020_489,{95778FF7-F977-462E-A37F-BF7D9DDE6B03},,0,0
4,11,001,010300,2,110010103002,Block Group 2,G5030,S,241334,0,+38.9803582,-077.0237804,270,59.63,59.63,18.61,31.21,9.88,16.57,10.57,17.73,31.09,52.13,8.72,14.62,3.32,5.56,1.74,2.92,6.74,11.31,0,0,0.05,0.08,18.61,31.21,9.86,16.54,14.93,25.04,5.07,8.5,0.01,0.01,26.09,43.75,26.03,43.65,0.05,0.08,0,0,16.25,27.25138353,2.36,3.95861647,16.52,27.70417575,2.09,3.50582425,17.07,28.62653027,1.54,2.58346973,11.13909817,8.50159624,31.17645637,0.03884319,4.53047498,7.22497156,68.79,25.04,UTC_BlockGroupPly_2020_270,{FBE0F9D2-3586-4853-A93B-5791886894C4},,0,0
5,11,001,001600,2,110010016002,Block Group 2,G5030,S,193480,0,+38.9800242,-077.0286707,413,47.8,47.8,19.34,40.45,6.45,13.48,8.82,18.46,22.02,46.06,6.91,14.46,1.36,2.84,1.17,2.45,3.75,7.85,0,0,0,0.01,19.34,40.45,6.29,13.16,8.84,18.48,2.55,5.33,0.14,0.29,19.63,41.07,19.49,40.77,0,0.01,0,0,14.74,30.83682008,4.6,9.61317992,17.42,36.44351464,1.92,4.00648536,16.39,34.28870293,2.95,6.16129707,7.03250184,5.32623579,31.13808552,0.21009513,7.27231013,6.9157837,59.55,18.48,UTC_BlockGroupPly_2020_413,{C2ADF62D-0791-4B47-A997-372A333F3FE6},,0,0
6,11,001,001600,3,110010016003,Block Group 3,G5030,S,354896,0,+38.9803947,-077.0334379,269,87.69,87.69,39.75,45.32,17.89,20.4,11.94,13.61,30.06,34.28,10.49,11.96,0.61,0.69,1.58,1.8,5.45,6.21,0,0,0,0,39.75,45.32,17.83,20.33,20.06,22.88,2.24,2.55,0.01,0.01,27.88,31.8,27.88,31.79,0,0,0,0,37.72,43.01516707,2.03,2.30483293,46.19,52.67419318,-6.44,-7.35419318,37.25,42.47918805,2.5,2.84081195,8.72385217,2.55080159,30.98595677,0.19119432,16.18149503,7.27999861,54.68,22.88,UTC_BlockGroupPly_2020_269,{D70E2BF8-9F86-4163-81A7-E1AD0E9A4790},,0,0
7,11,001,001500,4,110010015004,Block Group 4,G5030,S,654710,5000,+38.9748800,-077.0598161,426,163.01,163,111.31,68.28,19.73,12.1,14.29,8.77,31.96,19.61,10.95,6.71,0.04,0.03,0.56,0.34,6.12,3.76,0.01,0.00682131,0,0,111.31,68.29,19.48,11.95,20.09,12.33,0.62,0.38,0.23,0.14,31.6,19.38,31.36,19.24,0,0,0.01,0.01,114.78,70.41717791,-3.47,-2.12717791,103.12,63.26380368,8.19,5.02619632,119.3,73.19018405,-7.99,-4.90018405,1.73409338,0.44018747,28.93262444,0.00091078,12.29896774,6.05317714,31.71,12.33,UTC_BlockGroupPly_2020_426,{3A54BF87-027A-4761-B5D1-FAE1459E299F},,0,0
8,11,001,001702,2,110010017022,Block Group 2,G5030,S,520063,0,+38.9709787,-077.0130189,273,128.5,128.5,37.81,29.42,14.52,11.3,24.99,19.45,76.17,59.27,14.3,11.13,15.17,11.81,4.69,3.65,17.01,13.24,0,0,0,0,37.81,29.42,14.47,11.26,34.36,26.74,19.89,15.48,0.02,0.01,56.33,43.84,56.31,43.82,0,0,0,0,33.14,25.78988327,4.67,3.63011673,36.26,28.21789883,1.55,1.20210117,35.45,27.58754864,2.36,1.83245136,5.90518626,15.47687191,31.71766436,0.00434812,10.12634519,7.65079396,70.58,26.74,UTC_BlockGroupPly_2020_273,{07C3805C-7157-4294-A85A-319297E8077E},,0,0
9,11,001,010300,3,110010103003,Block Group 3,G5030,S,257181,0,+38.9761603,-077.0237082,271,63.55,63.55,25.08,39.47,11.95,18.8,10.03,15.79,26.41,41.55,7.67,12.07,1.1,1.73,2.27,3.57,5.34,8.4,0,0,0.12,0.18,25.08,39.47,11.17,17.58,14.56,22.91,3.38,5.33,0.76,1.19,23.91,37.62,23.04,36.25,0.12,0.18,0,0,23.57,37.08890637,1.51,2.38109363,25.54,40.18882769,-0.46,-0.71882769,23.79,37.43509048,1.29,2.03490952,8.39826712,5.32585459,31.25437761,3.4019481,8.87308309,7.20090352,60.53,22.91,UTC_BlockGroupPly_2020_271,{C3436FD7-9DFC-4598-97A7-E7E1E3A47A33},,0,0
10,11,001,010300,1,110010103001,Block Group 1,G5030,S,586076,0,+38.9744229,-077.0301171,217,144.82,144.82,42.34,29.23,23.25,16.05,22.18,15.31,78.95,54.52,16.45,11.36,10.27,7.09,7.26,5.01,22.8,15.74,0,0,0.28,0.19,42.34,29.23,22.39,15.46,39.95,27.59,17.56,12.13,0.77,0.53,62.53,43.18,61.48,42.46,0.28,0.19,0,0,38.58,26.63996686,3.76,2.59003314,41.79,28.85651153,0.55,0.37348847,42.93,29.64369562,-0.59,-0.41369562,1.4600481,12.12560201,31.42253636,15.2706195,4.92739276,7.48573509,70.77,27.59,UTC_BlockGroupPly_2020_217,{B152FE0A-E6BF-4A8D-9616-39D7AFED440F},,0,0
